host,window,fft,magnitude,device
2742,1019,11014,77143,163,1473
2845,1053,11084,77119,148,1115
2845,1071,10994,77232,164,1437
2940,1108,11095,77167,197,1561
2613,1055,10958,77107,166,1354
2646,1119,10992,77201,153,1211
2681,1029,10860,77142,163,1254
2758,1075,11017,77128,187,1563
3034,1074,11027,77062,77,1289
2658,1051,11103,77163,149,2343
2888,1053,11015,77126,188,1263
2668,1104,11036,77150,139,1331
2760,1073,10962,77139,128,744
2701,1074,11018,77134,142,915
2738,1053,11056,77116,69,349
2660,1031,10963,76984,107,939
2688,1114,11003,77274,197,1521
2860,1035,11000,76996,157,1892
2768,1098,11511,77149,137,722
2715,1058,10945,77090,170,1559
2781,1108,11132,77277,140,1391
2760,1012,10945,77120,175,1314
2806,1092,11130,77139,225,1344
2758,1017,10924,77043,250,1686
2750,1049,11119,77294,189,1536
2715,1120,11023,77117,94,1411
2672,1041,11093,77133,95,911
2764,1028,11203,77049,187,1317
2681,1083,11012,77216,177,1352
2696,1053,11029,77031,173,1495
