host,window,reverse,fft,magnitude,device
3226,1323,690895,7440552,298,2680
3348,2365,688158,7440420,318,2468
3478,2398,689831,7444958,282,2395
3290,1322,690909,7454393,300,2278
3353,2503,691304,7449594,285,2482
3186,1301,690471,7456291,329,2277
3188,1666,687443,7445381,201,949
3259,1820,688152,7469230,293,2578
3198,2371,690218,7439786,214,1356
3205,2358,692877,7444759,390,2357
3252,2563,689154,7457062,313,2730
3369,2189,689418,7445860,202,1050
3282,1907,689333,7446646,271,1834
3205,1465,689864,7456765,204,1023
3230,2337,690415,7456124,290,2331
3312,1308,689516,7440938,330,2233
3562,2167,687603,7450034,253,2393
3401,1427,690311,7469641,317,2418
3278,2382,688941,7451178,289,1994
3210,2428,687769,7445974,180,999
3303,1323,691136,7450608,230,1222
3412,2683,689356,7459085,264,1871
3243,2149,688844,7471388,205,1430
3228,1896,690295,7450240,324,2483
3334,2324,690504,7451033,290,2134
3352,1937,688180,7459546,304,2475
3250,2008,687580,7454177,258,1985
3293,2133,691294,7464374,286,2173
3260,1824,689951,7470717,301,2607
3302,1306,689005,7452698,270,2309
