host,window,fft,magnitude,device
2656,1079,71,151,33,239
2617,1118,113,180,52,287
2573,1045,87,158,42,240
2694,1122,111,192,78,347
2708,1044,99,162,59,379
2659,1115,95,160,42,307
2706,1082,131,171,44,276
2707,1087,108,172,61,282
2682,1053,81,164,45,258
2659,1049,84,160,42,247
2775,1175,76,151,33,254
2653,1380,80,162,43,267
2818,1054,72,151,35,241
2697,1111,88,182,45,264
2711,1048,88,158,42,235
2778,1055,81,163,44,270
3134,1101,101,174,57,281
2662,1067,100,197,97,394
2770,1059,77,171,43,241
2829,1043,82,162,34,274
2770,1113,86,158,37,302
2784,1042,80,161,45,257
2784,1093,97,164,41,257
2692,1043,86,154,36,365
2702,1071,104,184,62,272
2659,1095,110,189,143,274
2619,1066,89,168,51,289
2687,1085,88,169,67,281
2876,1076,95,173,53,273
2715,1082,80,161,52,265
