host,window,fft,magnitude,device
3279,1321,692143,7465863,223,1873
3193,1977,692865,7473333,290,2268
3220,1572,689743,7483055,260,1795
3163,1380,691272,7486343,302,1991
3281,2564,689351,7481059,205,983
3482,2303,694377,7479371,304,2294
3303,1332,692874,7492716,309,2219
3379,2005,691327,7480814,304,2285
3216,1844,691246,7478032,311,2446
3361,1876,693334,7476782,278,2419
3220,2034,691281,7475230,326,2437
3177,2104,692721,7472969,307,1959
3258,1381,691818,7466999,312,2374
3322,1923,688864,7473296,258,1633
3180,1360,691893,7475036,312,2600
3302,1850,692416,7473257,273,1814
3167,1310,692622,7470297,288,1318
3307,1958,689870,7462798,239,1425
3233,1338,690446,7460337,272,2164
3324,2177,693086,7458182,288,2523
3252,2597,690169,7491178,285,2526
3218,1846,691091,7481683,307,1954
3572,3989,690138,7488856,294,1939
3509,1937,691825,7489764,312,2150
3306,2186,694248,7464171,311,2304
3406,1311,689268,7477501,321,2807
3454,1902,689551,7492403,308,2373
3258,1330,693593,7479500,296,2195
3235,2250,694208,7476970,288,1673
3186,1314,691785,7476831,252,1707
