host,window,fft,magnitude,device
2757,1043,10882,77162,151,1725
2924,1030,11046,77378,159,1354
2731,1023,10844,76979,145,1082
2980,1082,10943,77329,69,342
2762,1047,10847,76994,289,1134
2725,1123,10967,77367,197,1290
2789,1032,10940,77258,158,1501
2738,1086,10957,77363,222,1207
2775,1116,10896,77159,178,1541
2791,1050,11036,77406,182,1299
2766,1094,10961,77236,161,2039
2751,1081,11088,77315,156,1414
2813,1059,10978,77396,203,1708
2686,1134,11086,77205,256,1242
2750,1079,10997,76990,82,1311
2987,1103,10983,77158,221,1147
2641,1048,10932,77245,229,1108
2767,1059,10931,77405,186,1501
2694,1191,10884,77049,184,1194
2730,1037,11023,77235,159,1535
2723,1058,10974,76979,136,883
2672,1075,10951,77496,185,1458
2678,1055,11204,77137,67,378
2714,1055,10900,77083,131,1205
2712,1064,11008,77309,161,1402
2942,1047,10917,77090,104,760
2733,1115,10987,77175,129,1225
2637,1056,10943,77240,86,1257
2728,1105,11083,77272,120,1232
3020,1046,10945,77147,169,1402
