window,fft,magnitude
59473,1005347,14132
59423,981578,14111
61756,998177,14147
59408,999052,14128
59415,977620,14135
59974,1002354,14386
59437,1002989,14156
59748,987113,14195
59658,988554,14235
59959,994954,14181
60099,998395,14498
60124,991950,14142
59411,994585,14141
59890,990837,14139
59400,998852,14131
59966,1007427,14281
59437,1006189,14149
59396,1000427,14142
59527,1010193,14123
59690,1005309,14141
59468,1014732,14145
60010,1006979,14339
59892,1021941,14250
60230,1003063,14338
59930,1023460,15442
59620,995978,14195
59730,1016318,14205
59907,994615,14219
59681,1011968,14244
59894,995549,14208
