window,fft,magnitude
32964,37178,3816
32945,36167,3818
33190,37905,3806
33022,37109,3817
33035,37729,3799
32926,37679,3815
33462,37792,3813
33515,36302,3818
32931,36667,3823
32785,36633,3803
32902,37694,3809
32993,38352,3814
33044,37691,3800
32909,36197,3802
32947,36072,3822
32948,39722,3826
33019,37282,3816
32937,36507,3813
32906,37100,3813
32946,35872,3817
32972,36438,3790
33126,37568,3808
33111,37270,3813
32922,36818,3808
33623,36409,3823
33042,37170,3854
33074,36093,3804
32979,35865,3807
33226,37094,3801
32914,38279,3805
