window,fft,magnitude
67162,78644,7675
65793,75394,7620
66252,79293,7616
66246,78718,7646
66353,81436,7714
66522,77546,7715
67273,78478,7709
66559,80759,7594
66584,79883,7710
66284,77830,7678
65996,75781,7616
65920,75689,7620
65793,81969,7608
65967,76239,7611
65862,80469,7595
65842,82254,7603
66597,78786,7620
66920,84323,7744
65928,98109,7613
65887,94774,7574
65879,94385,7591
65831,92916,7582
65904,88775,7652
67971,79795,7642
66335,91266,7672
66474,95354,7588
65846,96738,7599
65860,93660,7576
65894,91470,7592
66864,97713,7622
