copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
200,87,192,257,59,613,0.001349
180,86,182,265,57,136,0.000849
185,82,179,261,57,134,0.000841
182,77,175,259,57,133,0.000826
190,83,179,266,57,149,0.000867
183,77,176,262,54,148,0.000846
186,77,183,265,55,154,0.000865
181,77,176,260,54,155,0.000849
201,79,180,267,57,140,0.000867
92,79,179,262,54,144,0.000756
200,83,180,260,57,138,0.000861
213,79,180,261,58,138,0.000871
203,80,181,262,59,155,0.000881
203,79,180,268,54,154,0.000884
198,79,178,261,54,161,0.000877
183,80,181,261,54,149,0.000854
201,86,179,265,57,142,0.000873
202,79,179,262,54,155,0.000877
199,79,180,261,54,154,0.000873
87,82,186,265,59,163,0.000783
193,79,174,249,53,147,0.000842
77,78,173,248,58,148,0.000724
189,79,176,261,54,153,0.000858
186,79,177,262,54,157,0.000861
202,80,187,260,54,138,0.000867
199,79,179,261,58,141,0.000859
202,79,185,261,57,141,0.000868
214,78,180,265,57,139,0.000876
205,80,181,262,54,155,0.000883
200,79,180,262,54,165,0.000886
