copy_host_to_device,window,bit_reverse,fft,magnititude,copy_device_to_host,total
2484,164,3238,4378,222,1293,0.011557
1753,155,3252,4326,156,1265,0.010751
1738,154,3252,4512,156,1251,0.010907
1796,153,3301,4533,152,1239,0.011022
1778,150,5209,4402,153,1271,0.01281
1497,148,3337,4497,152,1241,0.01072
1417,151,3272,4787,151,1270,0.010897
1617,149,3392,4537,151,1325,0.01102
1713,148,3268,4526,151,1255,0.01091
1872,151,3273,4524,151,1266,0.011086
1772,148,3217,4525,150,1239,0.010901
1674,149,3245,4522,152,1243,0.010833
1759,149,3218,4529,150,1243,0.010898
1709,147,3312,4529,152,1273,0.01097
1687,151,3295,4530,152,1266,0.010929
1801,150,3256,4528,152,1241,0.010976
1756,149,3246,4318,152,1264,0.010733
1660,149,3227,4318,151,1266,0.01062
1505,152,3314,4469,150,1266,0.010706
1521,149,3178,4403,209,1478,0.010729
1367,152,5244,4460,151,1320,0.012543
1842,149,3240,4518,148,1242,0.010991
1675,148,3270,4502,151,1245,0.01084
1680,152,3251,4478,151,1241,0.010802
1791,149,3187,4386,150,1297,0.01081
1741,150,3205,4522,151,1238,0.010856
1728,149,3289,4498,153,1241,0.010905
1557,152,3447,4423,152,1266,0.010845
1729,151,3199,4320,151,1256,0.010655
1470,151,3265,4326,151,1256,0.010468
