copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host,total
2574,158,6120,4383,160,1249,0.014484
2478,153,6130,4378,159,1246,0.014385
2246,155,6115,4402,161,1245,0.014163
1580,151,6079,4397,159,1245,0.013452
1708,153,6158,4361,161,1241,0.013621
1945,154,6073,4436,160,1245,0.013853
2378,151,6127,4387,161,1247,0.01429
1743,153,6175,4434,161,1244,0.013749
1788,153,6082,4451,161,1251,0.013725
1605,151,6104,4413,161,1241,0.013514
1756,153,6114,4487,161,1246,0.013756
1792,153,6269,4361,159,1237,0.013812
1678,151,6210,4393,161,1240,0.013672
1585,153,6236,4393,161,1249,0.013616
1592,155,6122,4386,160,1246,0.013501
2005,153,6140,4415,161,1244,0.013957
1683,152,6096,4407,161,1241,0.013579
2243,152,6116,4399,160,1245,0.014155
1765,153,6006,4429,160,1241,0.013594
1696,153,6154,4377,160,1243,0.013623
1908,152,6133,4376,160,1241,0.01381
1644,155,6102,4418,160,1242,0.013561
1813,153,6136,4367,160,1242,0.013711
1799,150,6134,4429,162,1243,0.013755
2023,152,6112,4431,177,1277,0.013995
1675,153,6110,4428,163,1242,0.013608
2163,154,6094,4407,159,1252,0.01407
1542,151,6102,4370,159,1244,0.013409
1593,151,6134,4407,162,1242,0.013527
1718,152,6141,4415,160,1241,0.013667
