copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
205,40,116,295,30,590,0.001246
192,41,117,292,32,155,0.000797
199,30,109,294,32,148,0.00078
199,29,110,284,31,149,0.000771
195,31,110,298,31,156,0.00079
197,34,109,285,31,143,0.000768
198,30,110,287,32,155,0.00078
199,29,107,292,31,142,0.000769
197,29,109,289,30,154,0.000778
196,29,109,294,33,154,0.000782
88,29,109,289,32,158,0.000673
198,31,109,294,32,153,0.000785
194,30,111,287,31,142,0.000764
201,30,109,299,33,159,0.000798
204,32,110,290,32,157,0.000793
200,30,111,288,32,150,0.000779
118,29,108,293,32,155,0.000703
198,29,111,319,34,155,0.000812
200,30,108,298,31,162,0.000798
199,28,106,298,31,155,0.000786
200,30,109,288,31,132,0.000759
198,29,108,294,35,146,0.000775
195,32,109,285,31,127,0.000748
199,30,109,294,32,145,0.000777
195,29,107,289,32,145,0.000765
197,30,107,293,32,146,0.000773
196,29,107,294,32,145,0.000771
88,30,109,289,31,133,0.000649
198,30,108,294,32,145,0.000775
201,29,108,290,32,146,0.000774
