copy_host_to_device, window, bit_reverse, fft, magnititude, copy_device_to_host, total
1253,155,2334,1253,60,336,0.005331
602,152,2385,1259,62,339,0.004737
616,149,2357,1265,62,336,0.004723
601,151,2375,1256,60,333,0.004716
615,150,2381,1261,61,340,0.004747
605,147,2386,1266,61,336,0.00474
604,151,2360,1257,60,331,0.004703
605,146,2404,1246,60,333,0.004734
600,150,2385,1264,60,331,0.00473
611,145,2492,1255,61,333,0.004836
606,146,2416,1264,60,332,0.004764
489,148,2397,1244,61,364,0.004642
634,149,2417,1243,60,338,0.004781
603,149,2391,1273,61,334,0.00475
623,153,2382,1252,60,332,0.004742
599,148,2463,1277,61,333,0.00482
610,150,2418,1252,61,332,0.004762
590,148,2424,1263,60,329,0.004754
625,153,2390,1257,61,333,0.004758
614,147,2475,1257,60,336,0.004829
597,150,2416,1262,62,337,0.004762
614,150,2403,1254,61,337,0.004758
591,151,2368,1267,60,333,0.00471
511,156,2419,1268,61,335,0.004689
621,152,2399,1243,61,338,0.004753
637,155,2457,1262,62,334,0.004845
617,156,2403,1267,61,340,0.004783
613,147,2414,1270,60,335,0.004779
623,152,2384,1258,60,332,0.004749
616,151,2355,1259,60,329,0.00471
