copy_host_to_device,window,bit_reverse,fft,magnititude,copy_device_to_host,total
939,0,0,95,0,256,0.00129
289,0,0,89,0,413,0.000791
269,0,0,86,0,213,0.000568
248,0,0,80,0,221,0.000549
250,0,0,87,0,217,0.000554
274,0,0,92,0,221,0.000587
262,0,0,96,0,222,0.00058
128,0,0,86,0,218,0.000432
251,0,0,83,0,219,0.000553
231,0,0,82,0,217,0.00053
325,0,0,89,0,221,0.000635
245,0,0,87,0,219,0.000551
242,0,0,77,0,218,0.000537
245,0,0,79,0,220,0.000544
270,0,0,92,0,224,0.000586
242,0,0,76,0,218,0.000536
243,0,0,76,0,215,0.000534
237,0,0,77,0,215,0.000529
229,0,0,77,0,215,0.000521
246,0,0,80,0,212,0.000538
256,0,0,88,0,218,0.000562
240,0,0,79,0,217,0.000536
278,0,0,74,0,216,0.000568
237,0,0,76,0,214,0.000527
242,0,0,78,0,213,0.000533
244,0,0,79,0,105,0.000428
239,0,0,74,0,215,0.000528
240,0,0,72,0,213,0.000525
242,0,0,79,0,213,0.000534
246,0,0,78,0,216,0.00054
