N,L1,L2,Linf,RMS
16,6.231873690652520030597670536471840752678451713820598693277308358697079543407961047762792602057489591e-08,6.477622927281208647162823847204436496729181599617821183848141445843639307951820173587524784552627566e-08,8.414142119978544080368439391764033607647592579987477119328520612299841063599086541374039490270323195e-08,9.727784926865258848965637767899071271421032421224651877774436973103717612551625482495680420493054392e-08
64,7.647897393663394267412783152594764333195310136912134014491880517818416293429819865458986780579568792e-08,7.932285063220690485377399079405736866291528836063986443311289553827108886951184368498161567840301403e-08,1.078703890056018394244621217455467712990494803167768853391768710727578002194178367624458787192251273e-07,2.491424863931183045480308357502374539586676666528506071858155868207027718476110833822788183327493747e-07
256,9.529611470747095743639439902561180050130092840948247912733937430348328640285481323584457989722383375e-08,9.620015942418783313221799102701891501971169977237986245393873127335978059093704202485343878544646322e-08,7.261406364786553487428104944129019878473884331871139948078660505936067130758270543187525974422922629e-08,6.092814790022023877461798316136958229866048211250836373431398412987982895397395938177163908852686106e-07
1024,1.182324422657165155240812530157864484205716139144373418283472618864546794749154051995661466275069849e-07,1.196941423081975078468915554287388662533547437868930801271137011182722552808597771276888138908348366e-07,1.441809055012204252404802371212238524659921964418215364894503659872060791048666352140685157948065302e-07,1.578847898230479429003171656479803799339361505427775044797753300558025541494525423177101051761478118e-06
4096,1.280549994990116525506695737435343982315619545110612615212755462185839026435802675175328014985347583e-07,1.294656039174884654897664078066593450752065128979019097246294296048560468506869762525701848093079823e-07,1.363683626887858177526186783868197714746195308549310902322225922190561098165781478392059400625656435e-07,3.392533515503379977284329430473674529348832180573176572940485881046345698977415785307358008818132946e-06
16384,1.375246258170583063569873493255269953055903093793017027540813223089483075333766770919430424556968965e-07,1.379768546103889585929002394028169262341352542932747167788627930461930911624505635776154431411539724e-07,1.535638821563899253289611084375384832658602050447428354930655592676285158344941270810905064907101097e-07,7.237888422963451825717432617435408016264224917461273934693649820141002231492114781664761680851888247e-06
65536,1.508011189404508143310587591539154961620942062646162247034152736647984520541771251866208714122024664e-07,1.514522382705210863667230330766141425016127745972209085219066333542805448254270140159586315724060947e-07,1.775262320368931323343713500677244041356177121949054881880324401863577175209144607750816200407840198e-07,1.584492999211619168690707271490008276520207158415232695588873101545001173648841876784867529127257127e-05
262144,1.640608765769313820722516553611674238762432072080401195776052094379825526877527532771297766247793792e-07,1.649097802947798836104773140732835735755617307495704315156255550243450369228727484476112209703883472e-07,1.867776483269296014509031425811094452734778247812470975474768307967846131096955790505691310451746578e-07,3.443962026764254914772193813426845661779836267016531832321056567115748334021658772420419923685857159e-05
1048576,1.702844948244734153046206561553963093880328947807104613605282291478115818707682401346561477298757687e-07,1.712370710268821617573741191418704958434869589845255368594882084182527767082672159725085354259462282e-07,2.203624712359605360487174865737729582263770573757923883492398549204383479495858239116095402290438408e-07,7.15656012178987064758812744591152753807758206387356519198683105416015531743792875241502264894442935e-05
4194304,1.823494261470425911224732967264105585501071454987993183082308826890168473271458243586783857320771575e-07,1.83329416862543526013557058267298787762373915134130104012646647917712023589000349361926606460205611e-07,1.888073493461388605796824824935365690390528415696006571611527298258325220056600857492064167135495182e-07,0.0001532579623927765752166007976543399553743223628076935822517603467786501459621698898169186480771175981
