N,L1,L2,Linf,RMS
16,6.280626960335770891167737381815982560499624385620232737224241670644121019820449388811821623177916206e-08,6.669092867223294435306734461452616271808759138307411488731691659672527430895952172824237157038667102e-08,8.25677111920520961801951470244823584058665963581857553886669889030315481596755987953344914586681545e-08,9.951239964699907295362118310173225619464777887537978802248290635243553201407604192531287200870114183e-08
64,8.088834210368463581990018004785258011187370985520194319296955033036510450813866701184908372640560085e-08,8.903173156200201267271092333450916833042893950944345749224944166979920637473198323577601581089714903e-08,1.171127242086096711043468679975090592067250490441928584688915400080449211063931340079990552735288441e-07,2.783964623437596001164482801068095893873898177130365867286000249027940526003438948467574732046568865e-07
256,1.032641385822870286354904312342792351287511062843830488264130247876695480589910175507825599402337139e-07,1.035710666884275744597236154928803632820868082103922973629572410451694834234670512263400175489422641e-07,9.926022219801970877894388376471124683703395252101645309497240802331844877359880162396792312179986292e-08,6.530739420913587230606767806659581086958051757626946005108603294268030132747047585282258539334327179e-07
1024,1.168578048817852298831203391234046484767944299673501159472041391233501824259533535548315345489207602e-07,1.168937140768878703526394067947817431262036378248315612205097345685342769343280550999182910464108403e-07,1.171817019612356376996758032554684506778379887607408410064375184369321778062027364856129992142931439e-07,1.513992418892305079693696653979738773396219359421730383785248859181315164351570284355473698774964505e-06
4096,1.274703609616871296253876291823967215716662804429650225782681234130487208108365956850868535423696276e-07,1.289728630793136204230370718845783624251130929743708381335294873529850618504789645962293270203048781e-07,1.605914308810838438911927980005633484703483672847725844841745328723073975654569381169037329067718268e-07,3.337014033643949919028193726778844497767104086791580995169010947291453056334321683550672610074160521e-06
16384,1.398781325330050302750002344403143870113602452206460369999432394945102438360017331086739225313871386e-07,1.410749059159297172111480179294113301094828507753612282708659118778536378934264725643798397757560653e-07,1.598057724419739602572839848943225460084638653251801374415826990758278874540982427259996858087246057e-07,7.319548525504960756857828031315601312898472568567989520052472421076251467998324638606523569576161364e-06
65536,1.491988748561211865440738062334013923532312491366529169430576423231839713136084265471178365417820623e-07,1.500558312310340844642547706455991997814073580328508201980766357846102658599844091724250213252108063e-07,1.552316673459892318957607999850119445961811853985592501506947032970175181391645790449374272387643594e-07,1.56551373944515267924371886662423201484558128169590619767463669178836310777165649867748003779190911e-05
262144,1.59736017470012986345193472721639322604247525660818119559888268031453186960831059778837654505465316e-07,1.605708247406227399400250109834270681711022916138448455397678831727269450990216037873734000939040478e-07,1.6615249909131526755663076450839001904563351077735514573898319004413540352254336792735768660502179e-07,3.357874055227615752132084281762092794294915677079230894537352962141126630565621361458653315158143113e-05
1048576,6.016391494126434832547554598922080651832786305465497437073321011925653253867300517563126236859310651e-07,6.672966286491031919673860569937443327099191900931706510221608800127568656087266091603421642288836661e-07,1.044321026789447714326590868729530443662398185962367574768322084720269244174019871230411049619581445e-06,0.0002790936672390203188287094129578717762789873738650589842842147338356096360031936387049003694705479685
4194304,2.819797019154064201615867114976169502631828221385944994992826731144548949466547862937841692924626099e-06,3.093696177265576102712706373580954179118101944837947746730259422899866073458159157218192639326961619e-06,4.784761275607014443627442614358611435795689247632100800847483920783280522657732516782378633295030933e-06,0.002586696975061140081173527005970246160232375898964405756615275786832651768133581228853642767136005246
