N,L1,L2,Linf,RMS
16,7.666837475872047994813948619985292263072614944710880380810538016515484361717314887482036329349986479e-08,7.876738158013199510352477105809198559964063631042555828728996655644424003186531139618112834952368518e-08,8.919244455058554337541853616228127316587990179734168744381173372650984000458845594710605693088292956e-08,1.235792721553626472540908932310794131530617292431471067758145902344966605153299843327398190047570205e-07
64,8.515534264641056891552039093772955273409390887813852086331314798794031311799348112286176598233095114e-08,8.427594702500675411618458283856506021454010926474893874757011893337574780809310663372951851018394808e-08,8.079533851054047140288350537083843082644299240352945376895004012834773530034756007694930587782634255e-08,2.57951509058902311034829464624062353711194635400046578319233538565974268616864282381824912198108088e-07
256,1.064651529841718056855379188702431765660306991507354847543669497023393463290795993261602087299474278e-07,1.082799675127769401343303053450082005746404179094519160361840128421023300955383459674592699375706339e-07,1.236954912707546169174727951883234680378256533840942443058762442600062047746611607497561813805249559e-07,6.969714384641270786619047434849638644667778540604770428049599752346162444157722288026987587108986592e-07
1024,1.210622868607511857846405979951625316732644043600480933238196200852287234052089464070019621484644572e-07,1.223993198985372371307938696778001221686717033367420623367539587794561817990304274284021249235875802e-07,1.6062403708717337554705695781103380649252872253526850145867187437615783314253134016662849493134415e-07,1.606830172102083246719764671898503706630138786497017218660659853528908764659479041990328306945313188e-06
4096,1.407886252792814775760534965397152396755462930428023155085987076253475806673327550768221924014327104e-07,1.416446486057662669904299943495211668702960536601158676563036498726685658087077449883180241955042363e-07,1.401354587431127851517585474807733443424577839805887401705954345435726564226685094262622917850666138e-07,3.715034233433631396842656167159288295586800716280457985104152100983737859578277793258994613872338474e-06
16384,1.588035160532539461808081325373053614933634057323663509808317041224627438955964797027650193013007876e-07,1.595781397471647096131494592018893644235230852363413206714710738098973696320016154024813054501231685e-07,1.707000808260276918049668759104611648119134798780183325813515835367925475561049454871405180454965259e-07,8.366110619207636857681351891204095028897110711050847000252963861083995616688470398763384432567019519e-06
65536,1.696586093813925423121338128517475485518591406105829125030003606254478872161327931299843221728494093e-07,1.70402483151526007767156531826673134199702219621897370624194273058793981099711977943479567379182304e-07,2.23938489449481657322345134548907649907392778576944541367992527400461010669264432119412238111573377e-07,1.787207024228748501582140260652748230811592578561311982372003797695657825603292770807034708063980817e-05
262144,1.781414733670615010333329489427952601430015883618781651494156675855405519795332054738847737031322625e-07,1.787543694414266405085640562168524323361992181639086036153125296777166923107423520418671913229451347e-07,2.074911261060202608549226797304451188595261687569125937909408288151037680327740748220719566060760122e-07,3.737275206123284595648050544030177962816980196147302859750118932261713984107987873755841595620403484e-05
1048576,1.867922080582837851769722737826570805212242882045334266822543792489880389782736052617486758695716009e-07,1.875161184258095801286483354297786523956997940933744370068599552226048545526305243422337850056461343e-07,1.898651314209746384487087220646013586904974163073311755737397362388461740055431168756160770302337693e-07,7.835353303638339370180013273835172008458635222091042866186827645899426095233167554970027036070837567e-05
4194304,2.030618338168283675074972674665305856236604161003898888482516699605436785807435876979387464037216911e-07,2.038813946886237529499412643502035968656351029237967192825461290415300390572958581776916872686560403e-07,2.093068184928857894010071549253137468117570407859234251624649809969619758975054652202098030933993696e-07,0.0001704156648019614819954152116681932369769715489201437398554308826526982246370611591773793301589317016
